iter	RMSE
0	0.3735895136
1	0.3552003704
2	0.3380605411
3	0.3220131052
4	0.3074518213
5	0.2933114053
6	0.281531584
7	0.2692990586
8	0.2581650711
9	0.2498067038
10	0.2409410123
11	0.2324458743
12	0.2242894807
13	0.2180007246
14	0.2113563142
15	0.2059005485
16	0.2014025959
17	0.1960733864
18	0.1910317743
19	0.186162304
20	0.1823054561
21	0.1786058731
22	0.1746570743
23	0.1712743156
24	0.16803566
25	0.1656533642
26	0.1630457899
27	0.1606667208
28	0.1580089693
29	0.155815417
30	0.1536657173
31	0.1513991667
32	0.1492348842
33	0.1475465727
34	0.1458109168
35	0.1439036373
36	0.142702769
37	0.1413165448
38	0.1400159953
39	0.1389083419
40	0.1376031677
41	0.1363050029
42	0.1356047493
43	0.1346260948
44	0.1336793125
45	0.1326226653
46	0.1316544951
47	0.1307963973
48	0.1301839801
49	0.1294422685
50	0.1284627914
51	0.1280182426
52	0.1273195706
53	0.1269412607
54	0.1263177794
55	0.1257988884
56	0.1250673901
57	0.124365829
58	0.1237992622
59	0.12333957
60	0.1229370163
61	0.1223838463
62	0.1221676973
63	0.1216966119
64	0.1211611851
65	0.1204756461
66	0.1201111915
67	0.1194920582
68	0.1191209208
69	0.1185144558
70	0.1181175227
71	0.1177810792
72	0.1174227065
73	0.1168450128
74	0.1165146575
75	0.1162951047
76	0.115939592
77	0.1153972324
78	0.1152357674
79	0.1148491421
80	0.1142346085
81	0.1140683498
82	0.1137394705
83	0.1132784246
84	0.1129006348
85	0.1125850635
86	0.1122609086
87	0.1119194641
88	0.1116847873
89	0.1114260239
90	0.1110559671
91	0.1110325043
92	0.1108226053
93	0.1107743525
94	0.1107713307
95	0.1105515365
96	0.1102913517
97	0.1101795556
98	0.1101658929
99	0.1098306271
100	0.1097318101
101	0.1095544832
102	0.1094548129
103	0.1094281798
104	0.1091503421
105	0.1087976779
106	0.1087903742
107	0.1087400933
108	0.1087080012
109	0.1084435205
110	0.1084049176
111	0.1080878112
112	0.1080245718
113	0.1079277735
114	0.1079100358
115	0.1077768259
116	0.1077423999
117	0.1074560816
118	0.1071942879
119	0.1070242065
120	0.1065674005
121	0.1063872312
122	0.1061959238
123	0.1057865833
124	0.1057440882
125	0.1057282903
126	0.1057276889
127	0.105705121
128	0.1054259032
129	0.1050531924
130	0.104860644
131	0.1046942702
132	0.1044863375
133	0.1043026793
134	0.1041186714
135	0.1040073398
136	0.1039708835
137	0.1037304699
138	0.1035306156
139	0.1034718419
140	0.1032922606
141	0.1032137989
142	0.1030688847
143	0.1029530676
144	0.1027669188
145	0.1025023943
146	0.1024608166
147	0.1021542404
148	0.1020023473
149	0.1016581298
150	0.1015594516
151	0.1013778768
152	0.1013025011
153	0.1008939147
154	0.1004949511
155	0.100469487
156	0.1001883326
157	0.1001195022
158	0.09990407554
159	0.09978068078
160	0.09961976373
161	0.09959750441
162	0.09941386234
163	0.09939932011
164	0.09937692343
165	0.09934171791
166	0.09933555962
167	0.09932221251
168	0.09914785387
169	0.09911167645
170	0.09903646518
171	0.0990307708
172	0.09885926622
