iter	CrossEntropy
141	0.3617702635
142	0.3616275908
143	0.3615027571
144	0.3611929663
145	0.3607295924
146	0.3602285531
147	0.360206104
148	0.359236602
149	0.3591319368
150	0.3591268585
151	0.3587219807
152	0.3585579549
153	0.3585304166
154	0.3582132685
155	0.3580823914
156	0.3580193396
157	0.3579330451
158	0.357825201
159	0.3566474882
160	0.3565497096
161	0.3565148713
162	0.3563221886
163	0.3562937622
164	0.3562708556
165	0.3559814966
166	0.3556981339
167	0.3556687592
168	0.3556143977
169	0.3555808199
170	0.3553673623
171	0.3552915051
172	0.3552805551
173	0.355245338
174	0.3552376685
175	0.3550572247
176	0.3549451754
177	0.3541722333
178	0.3540769999
179	0.3538341048
180	0.353495686
181	0.3530850267
182	0.3530198237
183	0.3527657062
184	0.3525194147
185	0.3524275022
186	0.3522740769
187	0.3520486063
188	0.3520249553
189	0.3514537665
190	0.351120805
191	0.3510092475
192	0.3509266314
193	0.3508888171
194	0.350791918
195	0.3507742186
196	0.3507019092
197	0.3504965859
198	0.3500439829
199	0.3490744036
200	0.3490494752
201	0.3489050547
202	0.3487114186
203	0.3486114647
204	0.3485396738
205	0.3485170494
206	0.3476130408
207	0.3475379313
208	0.347483635
209	0.3472262961
210	0.3471922211
211	0.3468375339
212	0.3467355229
213	0.346715142
214	0.346614059
215	0.3458009638
216	0.3457611954
217	0.3456716939
218	0.3455363981
219	0.3455019627
220	0.3450524851
221	0.345021814
222	0.3442728558
223	0.3442212162
224	0.3440392387
225	0.3439702231
226	0.3437831141
227	0.3434456669
228	0.3433848312
229	0.343202053
230	0.3430631421
231	0.3428478125
232	0.342371032
233	0.3423586379
234	0.3423241015
235	0.3422452216
236	0.3413587184
237	0.3412957215
238	0.3411202644
239	0.3409848785
240	0.3408213352
241	0.3408097011
242	0.3407103849
243	0.3406142333
244	0.3404249769
245	0.3399697616
246	0.3397961684
247	0.3396392897
248	0.3389250207
249	0.3388749991
250	0.3387567085
251	0.3385029576
252	0.338217847
253	0.3379866173
254	0.3379520413
255	0.3375936636
256	0.3371182438
257	0.3369947474
258	0.3368100349
259	0.3367672293
260	0.3366784645
261	0.3366577278
262	0.3360565824
263	0.3360375494
264	0.3360268746
265	0.3359721986
266	0.3356715681
267	0.335557159
268	0.3354865479
269	0.3354161582
270	0.3353779125
271	0.3351517402
272	0.3351066001
273	0.3348211102
274	0.3347030805
275	0.3344460787
276	0.334381831
277	0.3340401586
278	0.3339626183
279	0.3339558809
280	0.3338414169
281	0.3338235699
282	0.3337923931
283	0.3337871795
284	0.3335103013
285	0.3333992593
286	0.3327432292
287	0.3327100832
288	0.3325097204
289	0.3322840372
290	0.3322183976
291	0.3319868595
292	0.331851142
293	0.33164504
294	0.3313607736
295	0.3312964833
296	0.3310754606
297	0.3309330857
298	0.3306876297
299	0.3306025681
300	0.3305918743
301	0.3305667269
302	0.3305220444
303	0.3299748403
304	0.329885754
305	0.3298678335
306	0.3298557422
307	0.3293311945
308	0.3290373936
309	0.3284912273
310	0.3283201206
311	0.3280724619
312	0.3280426475
313	0.3273892205
314	0.327204489
315	0.3270833086
316	0.3270527091
317	0.3270417159
318	0.3269648977
319	0.3268519029
320	0.3266113662
321	0.3263080543
322	0.3261303084
323	0.3260654247
324	0.3259857906
325	0.3255140681
326	0.3254826969
327	0.3254675662
328	0.3253808382
329	0.3253423455
330	0.3253174827
331	0.3253026812
332	0.3250961298
333	0.32502301
334	0.3246593866
335	0.3244536973
336	0.3244241217
337	0.3244100896
338	0.3243153894
339	0.3241205457
340	0.3241077418
341	0.3240673194
342	0.3239182156
343	0.3238707278
344	0.3238616013
345	0.3238308516
346	0.323804806
347	0.3232425964
348	0.3231888961
349	0.3231317804
350	0.3231071558
351	0.3230724908
352	0.3230611799
353	0.3230082157
354	0.3228172632
355	0.3227987727
356	0.3226702419
357	0.3221674098
358	0.3220767271
359	0.3220398851
360	0.3217529366
361	0.3216680864
362	0.3215997921
363	0.321289166
364	0.3212676194
365	0.3212448999
366	0.320838763
367	0.3205618716
368	0.3204440017
369	0.3203451415
370	0.3201996694
371	0.3199380556
372	0.3199130522
373	0.3197969885
374	0.3197838517
375	0.3197435649
376	0.3195583867
377	0.3193328335
378	0.3192137289
379	0.3190287246
380	0.3188603957
381	0.3187354473
382	0.3185417359
383	0.3184222553
384	0.318389798
385	0.3183774173
386	0.3183508477
387	0.3180864988
388	0.3179794521
389	0.3179637611
390	0.3178662783
391	0.3174042249
392	0.3172396014
393	0.3172286549
394	0.3172141618
395	0.3171336639
396	0.3167667007
397	0.3167132764
398	0.3165745309
399	0.3165292603
400	0.3163606567
401	0.3161879595
402	0.3161185479
403	0.3158482558
404	0.3158368941
405	0.3158017555
406	0.3153312424
407	0.3153175105
408	0.3152449082
409	0.3151714485
410	0.315133804
411	0.3151092625
412	0.315098874
413	0.3144328631
414	0.3143316532
415	0.3142760659
416	0.3139865184
417	0.3138343349
418	0.3137786216
419	0.3137498259
420	0.3137353636
421	0.3137075741
422	0.3136911726
423	0.3136779683
424	0.3134864267
425	0.3134437514
426	0.3133894254
427	0.3128478777
428	0.3123033695
429	0.3122632873
430	0.3120182728
431	0.3119711424
432	0.3119005383
433	0.3116487024
434	0.3111771736
435	0.3111046065
436	0.3110947147
437	0.3110844426
438	0.31070129
439	0.3104974838
440	0.3096549132
441	0.3096129545
442	0.3093949404
443	0.309202195
444	0.3090909015
445	0.3090765852
446	0.3089853092
447	0.3089266872
448	0.3088547518
449	0.3086399234
450	0.3082860202
451	0.3077137961
452	0.3076738468
453	0.3075104863
454	0.3074288909
455	0.3074214084
456	0.3072404418
457	0.3072338423
458	0.3070724864
459	0.3069312567
460	0.3068997
461	0.3067287241
462	0.3064177478
463	0.3060521939
464	0.3057956776
465	0.3057734401
466	0.3057625327
467	0.3057494143
468	0.305749332
469	0.305569204
470	0.3052703293
471	0.3051835294
472	0.3049018613
473	0.3048915612
474	0.3048100044
475	0.3047944384
476	0.3040586
477	0.3040460053
478	0.3039885571
479	0.3039789759
480	0.3037526697
481	0.3035872629
482	0.3035584204
483	0.3035460328
484	0.3034524144
485	0.3033777098
486	0.3033585552
487	0.3033484113
488	0.3030655114
489	0.3029375164
490	0.3029258984
491	0.3026666706
492	0.3026561818
493	0.3024730445
494	0.3023005832
495	0.3019543607
496	0.3017618802
497	0.3016917307
498	0.3016745167
499	0.3016643311
500	0.3016060139
501	0.3015184927
502	0.3012290568
503	0.3012122773
504	0.3011234251
505	0.3008897429
506	0.3008616547
507	0.3004224361
508	0.3003253216
509	0.3003096185
510	0.3001156498
511	0.299929861
512	0.2999264506
513	0.2998827451
514	0.2998725992
515	0.299753834
516	0.2997538299
517	0.2997276027
518	0.299698552
519	0.2996824362
520	0.299562891
521	0.299554102
522	0.2992564367
523	0.2991016279
524	0.2986428909
525	0.2986345316
526	0.2984040604
527	0.2979730874
528	0.2978742675
529	0.2977748058
530	0.2977624104
531	0.2977532426
532	0.2977325335
533	0.2975886242
534	0.2972098105
535	0.2969323739
536	0.2968980443
537	0.2968567728
538	0.2968455531
539	0.2967040526
540	0.2966255152
541	0.2964680301
542	0.2962933604
543	0.2962530145
544	0.2962341694
545	0.2959435062
546	0.2957154895
547	0.2953357049
548	0.2952103755
549	0.2950178229
550	0.294857005
551	0.2947672483
552	0.2947607659
553	0.2946996587
554	0.2946550473
555	0.2945454783
556	0.2943336447
557	0.2937829786
558	0.2937669276
559	0.2937507548
560	0.2936411511
561	0.293610423
562	0.2933410958
563	0.2931609094
564	0.2928747862
565	0.2928305148
566	0.2926626945
567	0.2925083157
568	0.2924995786
569	0.2924939446
570	0.2924249135
571	0.2922953162
572	0.2921547686
573	0.2921204521
574	0.2919644566
575	0.2918144321
576	0.2916400798
577	0.2915587554
578	0.2912189084
579	0.2911810333
580	0.2909109581
581	0.2908779232
582	0.2907320456
583	0.2907170409
584	0.2906093516
585	0.2906001573
586	0.290583802
587	0.2905752606
588	0.2905322621
589	0.290526739
590	0.2904684522
591	0.2904555137
592	0.2901566199
593	0.2900571779
594	0.2900167806
595	0.290008788
596	0.2897891191
597	0.2897744416
598	0.2894324268
599	0.2893999377
600	0.2893673987
601	0.2890781603
602	0.288912569
603	0.288581991
604	0.2884928204
605	0.2884765209
606	0.2883248179
607	0.2882970451
608	0.2879919304
609	0.2879836314
610	0.2879623443
611	0.2879549136
612	0.2878697759
613	0.2874901518
614	0.2874836272
615	0.2871105773
616	0.2871066868
617	0.2871063725
618	0.2870735015
619	0.2864074563
620	0.2862882661
621	0.2862144389
622	0.2861566277
623	0.285889219
624	0.2856736671
625	0.2856689636
626	0.2856590316
627	0.2855176356
628	0.2855112703
629	0.2855001828
630	0.2854130003
631	0.2854095844
632	0.2851831128
633	0.2849209327
634	0.2848029638
635	0.2843045847
636	0.2841884681
637	0.2841853969
638	0.2840998656
639	0.2839723862
640	0.2839346199
641	0.2839331468
642	0.283772446
643	0.2837340909
644	0.2836547138
645	0.283479663
646	0.283461599
647	0.2833211534
648	0.2832609858
649	0.2832074068
650	0.2829257264
651	0.282787404
652	0.2827750377
653	0.2825342232
654	0.2823498686
655	0.282034043
656	0.281706071
657	0.281690139
658	0.2816885033
659	0.2816671299
660	0.2816553514
661	0.2815861689
662	0.2814073625
663	0.281364647
664	0.2812268605
665	0.2812199908
666	0.2811294923
667	0.2805034102
668	0.2805022416
669	0.2804756323
670	0.2802829774
671	0.2802823623
672	0.2802448401
673	0.2802263292
674	0.2801927692
675	0.2801262122
676	0.280078334
677	0.2800243415
678	0.2800074135
679	0.2799736487
680	0.279891695
681	0.2798345568
682	0.2795786779
683	0.2795594486
684	0.2795568179
685	0.2795481604
686	0.279488587
687	0.2794874535
688	0.2794646018
689	0.2794456628
690	0.2793989187
691	0.2791300086
692	0.2788744813
693	0.2788644401
694	0.2788534036
695	0.2787844071
696	0.278718337
697	0.2785690292
698	0.2785077976
699	0.278230784
700	0.2782236437
701	0.2782038387
702	0.2778243117
703	0.2778064504
704	0.2774459738
705	0.2774446523
706	0.2773282732
707	0.277278212
708	0.2772411444
709	0.2772350483
710	0.2772236487
711	0.2771594509
712	0.2771594421
713	0.2771277556
714	0.2771221931
715	0.2770990248
716	0.2770813011
717	0.2770763239
718	0.2770446692
719	0.2769492384
720	0.2768115278
721	0.2766638695
722	0.2766428931
723	0.2766032532
724	0.276230379
725	0.2762199457
726	0.2762068405
727	0.2760793904
728	0.2760251392
729	0.2757467142
730	0.2756854769
731	0.2755033937
732	0.275386394
733	0.2753729372
734	0.2753541187
735	0.2753515779
736	0.2753428141
737	0.2751665159
738	0.2750510385
739	0.2750487476
740	0.2749757634
741	0.2747204453
742	0.2746102164
743	0.2744410649
744	0.2744110131
745	0.2742475185
746	0.2742267583
747	0.2742116644
748	0.2741993486
749	0.2741867148
750	0.2741386102
751	0.2741078867
752	0.274038797
753	0.2738254
754	0.2738041292
755	0.2737092174
756	0.2736979163
757	0.2736177985
758	0.2732036281
759	0.2729301091
760	0.2728892092
761	0.2728874616
762	0.2727317616
763	0.2726785197
764	0.2726458178
765	0.2726384029
766	0.2725732566
767	0.272239226
768	0.2721533389
769	0.2721222469
770	0.2718800857
771	0.2718718644
772	0.2718232317
773	0.2717922184
774	0.2716682502
775	0.2714498429
776	0.2714433046
777	0.2713602421
778	0.2713585292
779	0.2712674302
780	0.2711986532
781	0.2711830705
782	0.2711816625
783	0.2711755151
784	0.271042638
785	0.2710275232
786	0.2708715791
787	0.2708630739
788	0.2707778247
789	0.2706620101
790	0.2706460798
791	0.2705591756
792	0.2704531631
793	0.270444972
794	0.2703813602
795	0.2701429094
796	0.269884786
797	0.2698394806
798	0.2697596442
799	0.2697329282
800	0.2697088837
801	0.2696999834
802	0.2695202657
803	0.269338244
804	0.2693319586
805	0.2692974474
806	0.2691985175
807	0.2691280145
808	0.2691211575
809	0.269069523
810	0.2690630635
811	0.2690606651
812	0.2690559945
813	0.269054978
814	0.2690543411
815	0.2690323301
816	0.2689990809
817	0.268876463
818	0.2688287698
819	0.2688229828
820	0.2687904074
821	0.2687414308
822	0.2686053315
823	0.2685971626
824	0.2683436133
825	0.2683238401
826	0.2683111143
827	0.2682686016
828	0.268245486
829	0.2682177431
830	0.2682083607
831	0.2680983727
832	0.2680582891
833	0.2680487364
834	0.2680056187
835	0.2679909944
836	0.2679836784
837	0.2674882428
838	0.2674584648
839	0.2673785865
840	0.2673623561
841	0.2673143134
842	0.2672372063
843	0.2671883204
844	0.267171611
845	0.2670335813
846	0.2670245061
847	0.2669007991
848	0.2668521998
849	0.2668055022
850	0.266620551
851	0.2665678608
852	0.2664190766
853	0.2664151715
854	0.266148493
855	0.266139462
856	0.2661358434
857	0.2660949717
858	0.2660074223
859	0.2659815953
860	0.2659458503
861	0.2658770805
862	0.2658151307
863	0.2657851688
864	0.2657298906
865	0.2655050088
866	0.2654614692
867	0.2654558504
868	0.2654239456
869	0.2654153701
870	0.2653804119
871	0.2653571985
872	0.2653490144
873	0.2650770018
874	0.2649470058
875	0.2647448808
876	0.2646913374
877	0.264672168
878	0.264656941
879	0.2644974631
880	0.2642137991
881	0.2641322283
882	0.2641276652
883	0.264056429
884	0.26395819
885	0.2638559405
886	0.2638450883
887	0.2638070362
888	0.2638015339
889	0.2638014875
890	0.2637588201
891	0.2636798658
892	0.2634469247
893	0.2634277102
894	0.2633194469
895	0.2633173267
896	0.2631450696
897	0.2631394664
898	0.2629776148
899	0.2629114864
900	0.2628620567
901	0.2628564835
902	0.2628557737
903	0.2626376898
904	0.2626136214
905	0.2625631079
906	0.2625283739
907	0.2625061598
908	0.2623701777
909	0.2622183982
910	0.2621557893
911	0.2621250363
912	0.2621219039
913	0.2619321076
914	0.2619297258
915	0.2618987458
916	0.2618393792
917	0.2618066734
918	0.2618035397
919	0.2617737229
920	0.2617469539
921	0.261635957
922	0.2615620633
923	0.2614517556
924	0.2614452291
925	0.2613335332
926	0.2612790411
927	0.2612511043
928	0.2611557879
929	0.26115429
930	0.261150177
931	0.2611447669
932	0.2611351479
933	0.2611214741
934	0.2611088947
935	0.2610698874
936	0.2610412049
937	0.2610062295
938	0.2610011885
939	0.2608483627
940	0.2608230328
941	0.2608160607
942	0.2608120465
943	0.2606785331
944	0.2606703761
945	0.2606132797
946	0.2605824493
947	0.2604179058
948	0.2602794982
949	0.2602261576
950	0.2602074329
951	0.2599964247
952	0.2599727992
953	0.2599604156
954	0.2598777233
955	0.2595198046
956	0.2593695562
957	0.2591131406
958	0.2590915205
959	0.2590848965
960	0.2590626164
961	0.2589376429
962	0.2587774232
963	0.2587674259
964	0.2587617064
965	0.2586006739
966	0.2584920558
967	0.2584773694
968	0.2583285066
969	0.2583158072
970	0.2582608577
971	0.258239967
972	0.2581968342
973	0.2581784732
974	0.2581663639
975	0.2577405707
976	0.257661058
977	0.2575981241
978	0.2574992686
979	0.2573298618
980	0.2572981926
981	0.2572543633
982	0.2572156081
983	0.2571874242
984	0.2570816308
985	0.2570380979
986	0.2570326407
987	0.2570163478
988	0.2569689594
989	0.2568817205
990	0.2568769563
991	0.256872953
992	0.2567884775
993	0.2567668351
994	0.2566221261
995	0.2564895971
996	0.2563998911
997	0.2563940347
998	0.256295732
999	0.2562101269
